LEI;LegalName;BusinessRegisterEntityID
25490042N7QGLQCFDQ18;WTC, LLC;6586059
25490043R392OP753N65;Excellent Victory Development Limited;1430724
25490043Z1O3CFY7D576;First National Bank of Hereford;34918
25490044NP9XSNWW7F27;WPS OÜ;12584555
25490044UX6875ZBFF38;Tangix Design and Development AB;5566799721
25490045517ADNT4RS42;Jelco Holding Corp.;18506
25490045IGZHUWFQCF90;PT Tradition Indonesia;09.03.1.66.80070
25490046A4DJXYGLRP27;Cordyline Properties Limited;480090
25490046GL77VSFSYG24;Signature Bank of Arkansas;200000279
25490046Q2P11Q3BC506;The Mill Corner Discretionary Trust 2013;Document
254900479HJCK4ATBF87;Cedar Grove Partners IX LLC;6350586
25490047DXSX2HF6QY47;First Bank;0423016-5
25490047EHJE85OMLN67;Foundation for the support of enterprises of the fuel&energy complex (Panama);57020
25490047NDOSIRX88H28;Lexicon Fund;9421
25490047T9GOWFYI4669;Maydena Holdings Limited;13.613 B
25490049NOP3H1NB9120;Hancock Victorian Plantations Pty Limited;084 801 132
25490049PMGF7GF95483;Sunline Pte Ltd;CMS100332-1
25490049RRVB8S6CG210;Farmers and Merchants Bank of Long Beach;C0052189
25490049SMT6Y6X0MP13;K2 Global High Alpha Fund;139669293
25490049ZK9LGGBW3X87;Limmat Capital Alternative Investments AG;CHE‑112.265.758
2549004AMC5G6G1FGB35;DDP Enterprises. LLC;04438531
2549004AORD1OTA9R679;ICBC TURKEY YATIRIM MENKUL DEGERLER AS;357753
2549004AS39QHSUTIR32;Ironwood Ltd;18651
